#{"t_start": 1743454112.247222, "env_id": "None"}
r,l,t
1.0,164,351.357319
0.0,164,351.358183
0.0,164,351.358205
0.0,164,351.358216
2.0,224,1012.350771
2.0,224,1012.352291
1.0,224,1012.352312
0.0,224,1012.352325
0.0,184,1014.161162
2.0,184,1014.161218
0.0,184,1014.161235
0.0,184,1014.161246
4.0,344,1015.904268
5.0,344,1015.904323
0.0,344,1015.904337
0.0,344,1015.904347
0.0,164,1040.525709
0.0,164,1040.52662
0.0,164,1040.526646
0.0,164,1040.526657
5.0,364,1040.526667
6.0,364,1040.526678
0.0,364,1040.526687
1.0,364,1040.526696
1.0,244,1040.526706
5.0,244,1040.526714
0.0,244,1040.526721
0.0,244,1040.526728
3.0,304,1048.44347
3.0,304,1048.444374
0.0,304,1048.444415
1.0,304,1048.444432
2.0,164,1050.278767
0.0,164,1050.279641
0.0,164,1050.279667
0.0,164,1050.279679
1.0,284,1053.001849
4.0,284,1053.001936
0.0,284,1053.001955
1.0,284,1053.001966
3.0,184,1053.001976
0.0,184,1053.001985
0.0,184,1053.001994
1.0,184,1053.002002
2.0,164,1078.668566
1.0,164,1078.668895
0.0,164,1078.668923
0.0,164,1078.668937
1.0,164,1078.668947
0.0,164,1078.668956
0.0,164,1078.668965
0.0,164,1078.668973
6.0,284,1080.625803
3.0,284,1080.626005
0.0,284,1080.62603
0.0,284,1080.626041
0.0,164,1091.690133
1.0,164,1091.690831
0.0,164,1091.69085
0.0,164,1091.69086
2.0,224,1092.581965
3.0,224,1092.582021
0.0,224,1092.582037
0.0,224,1092.582047
0.0,204,1096.112557
5.0,204,1096.112606
0.0,204,1096.11262
0.0,204,1096.11263
1.0,184,1096.112639
1.0,184,1096.112647
0.0,184,1096.112655
0.0,184,1096.112662
1.0,204,1098.243914
2.0,204,1098.24483
0.0,204,1098.244863
0.0,204,1098.244877
1.0,184,1125.512875
0.0,184,1125.514081
1.0,184,1125.514101
0.0,184,1125.514112
4.0,204,1128.270965
1.0,204,1128.271026
0.0,204,1128.271043
0.0,204,1128.271054
1.0,164,1131.986734
0.0,164,1131.987196
0.0,164,1131.987231
0.0,164,1131.987245
0.0,164,1132.899869
0.0,164,1132.899936
0.0,164,1132.899953
0.0,164,1132.899963
3.0,224,1132.899974
1.0,224,1132.899983
0.0,224,1132.899992
1.0,224,1132.9
0.0,184,1141.278254
3.0,184,1141.278438
0.0,184,1141.278458
0.0,184,1141.278469
2.0,184,1141.278478
1.0,184,1141.278486
1.0,184,1141.278494
0.0,184,1141.278501
3.0,264,1161.72274
3.0,264,1161.722998
1.0,264,1161.723017
0.0,264,1161.723028
1.0,164,1163.634554
0.0,164,1163.634602
0.0,164,1163.634616
0.0,164,1163.634625
1.0,184,1176.667125
2.0,184,1176.667451
0.0,184,1176.667481
0.0,184,1176.667494
3.0,204,1176.667504
0.0,204,1176.667512
0.0,204,1176.66752
0.0,204,1176.667541
1.0,184,1176.667553
2.0,184,1176.667569
0.0,184,1176.667575
0.0,184,1176.667581
1.0,164,1180.408619
1.0,164,1180.40867
0.0,164,1180.408683
0.0,164,1180.408692
0.0,164,1202.249917
1.0,164,1202.250219
0.0,164,1202.250245
0.0,164,1202.250257
7.0,344,1211.881559
4.0,344,1211.881909
0.0,344,1211.881936
0.0,344,1211.881948
4.0,224,1213.670633
0.0,224,1213.67069
0.0,224,1213.670705
0.0,224,1213.670714
0.0,184,1218.107678
5.0,184,1218.108732
0.0,184,1218.108759
0.0,184,1218.10877
0.0,184,1221.647848
2.0,184,1221.647904
0.0,184,1221.647919
0.0,184,1221.647929
2.0,204,1222.543593
4.0,204,1222.543654
0.0,204,1222.54367
0.0,204,1222.543681
4.0,204,1222.54369
0.0,204,1222.543698
1.0,204,1222.543705
0.0,204,1222.543713
6.0,424,1238.740903
7.0,424,1238.741904
0.0,424,1238.74194
0.0,424,1238.741953
3.0,164,1238.741964
2.0,164,1238.741974
0.0,164,1238.741983
0.0,164,1238.741993
3.0,184,1252.679525
1.0,184,1252.6804
0.0,184,1252.680422
0.0,184,1252.680433
2.0,164,1254.402037
0.0,164,1254.402102
0.0,164,1254.402116
0.0,164,1254.402126
3.0,164,1258.786456
0.0,164,1258.786807
0.0,164,1258.786835
0.0,164,1258.786847
1.0,164,1258.786865
1.0,164,1258.786874
0.0,164,1258.786882
0.0,164,1258.786889
1.0,184,1262.258974
2.0,184,1262.259045
